item_id,filename,rouge1_f,rouge2_f,rougeL_f,bleu,llm_output
1,Real_SlovakIDCard_001.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
2,Real_SlovakIDCard_002.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
3,Real_SlovakIDCard_003.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
4,Real_SlovakIDCard_004.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
5,Real_SlovakIDCard_005.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
6,Real_SlovakIDCard_006.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
7,Real_SlovakIDCard_007.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
8,Real_SlovakIDCard_008.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
9,Real_SlovakIDCard_009.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
10,Real_SlovakIDCard_010.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
11,Real_SlovakIDCard_011.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
12,Real_SlovakIDCard_012.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
13,Real_SlovakIDCard_013.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
14,Real_SlovakIDCard_014.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
15,Real_SlovakIDCard_015.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
16,Real_SlovakIDCard_016.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
17,Real_SlovakIDCard_017.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
18,Real_SlovakIDCard_018.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
19,Real_SlovakIDCard_019.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
20,Real_SlovakIDCard_020.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
21,Real_SlovakIDCard_021.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
22,Real_SlovakIDCard_022.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
23,Real_SlovakIDCard_023.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
24,Real_SlovakIDCard_024.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
25,Real_SlovakIDCard_025.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
26,Real_SlovakIDCard_026.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
27,Real_SlovakIDCard_027.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
28,Real_SlovakIDCard_028.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
29,Real_SlovakIDCard_029.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
30,Real_SlovakIDCard_030.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
31,Real_SlovakIDCard_031.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
32,Real_SlovakIDCard_032.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
33,Real_SlovakIDCard_033.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
34,Real_SlovakIDCard_034.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
35,Real_SlovakIDCard_035.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
36,Real_SlovakIDCard_036.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
37,Real_SlovakIDCard_037.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
38,Real_SlovakIDCard_038.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
39,Real_SlovakIDCard_039.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
40,Real_SlovakIDCard_040.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
41,Real_SlovakIDCard_041.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
42,Real_SlovakIDCard_042.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
43,Real_SlovakIDCard_043.png,0.5,0.1111111111111111,0.4,0.020255986027125642,"Authenticity: Fake, DocumentType: SlovakIDCard, Reason: Manipulated or edited. Face Replacement or morphing"
44,Real_SlovakIDCard_044.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
45,Real_SlovakIDCard_045.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
46,Real_SlovakIDCard_046.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
47,Real_SlovakIDCard_047.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
48,Real_SlovakIDCard_048.png,1.0,0.7142857142857143,0.75,0.38260294162784475,"Authenticity: Real, DocumentType: SlovakIDCard, Reason: Geniune. No Manipulation"
